Food_Item,Calories,Protein_g,Carbs_g,Fat_g,Meal_Type,Diet_Type
Lemon Tofu Roast with Ramen,656,20.6,56.4,30.6,Breakfast,Veg
Garlic Egg Pasta with Pasta,404,37.4,33.2,27.3,Dinner,Veg
Garlic Lentil Stir Fry with Noodles,379,12.3,85.3,13.2,Dinner,Veg
Masala Pork Noodles with Bun,631,29.2,40.2,21.1,Snack,Veg
Lemon Lentil Noodles with Bun,94,2.3,76.6,31.4,Snack,Veg
Garlic Shrimp Tacos with Noodles,220,31.5,63.2,10.1,Lunch,Non-Veg
Spicy Lentil Soup with Dumpling,571,10.4,59.3,17.2,Snack,Veg
Spicy Shrimp Noodles with Noodles,81,21.2,15.7,1.1,Lunch,Non-Veg
Honey Beef Soup with Noodles,218,2.1,78.4,3.7,Snack,Non-Veg
Masala Paneer Burger with Quinoa,173,14.8,74,20.6,Snack,Non-Veg
Lemon Tofu Curry with Quinoa,422,3.1,39.1,19.4,Snack,Non-Veg
Butter Tofu Stir Fry with Bun,522,14.5,78.3,20.7,Lunch,Non-Veg
Herb Chicken Stir Fry with Flatbread,644,17.6,7,6.7,Dinner,Non-Veg
BBQ Fish Salad with Flatbread,102,34,81.2,18,Breakfast,Non-Veg
Herb Chicken Stir Fry with Dumpling,92,4.6,71.2,16.9,Breakfast,Non-Veg
Lemon Lentil Stir Fry with Ramen,284,29.8,82.9,27,Lunch,Veg
Chili Fish Roast with Quinoa,392,28.9,40.2,19.6,Snack,Non-Veg
Honey Turkey Pasta with Pasta,434,8.7,48.5,28.7,Snack,Veg
Spicy Turkey Soup with Dumpling,467,24.2,87.3,5,Lunch,Non-Veg
Lemon Fish Noodles with Bun,504,29.2,17.7,5.7,Snack,Non-Veg
Garlic Egg Pasta with Noodles,143,10.3,32,14.7,Snack,Veg
Butter Paneer Pasta with Bread,455,36.6,25.3,24.8,Snack,Non-Veg
Lemon Paneer Wrap with Pasta,384,31.3,50.4,6,Snack,Veg
Butter Beef Burger with Dumpling,288,37.7,56.8,34.8,Breakfast,Veg
BBQ Egg Stir Fry with Rice,672,3.8,56.4,22.1,Lunch,Veg
Chili Beef Pasta with Flatbread,99,13.5,48,23.7,Snack,Veg
Butter Chicken Stir Fry with Dumpling,129,12.3,77.7,8.8,Snack,Non-Veg
Butter Turkey Salad with Flatbread,535,9,40.7,3.6,Dinner,Veg
Chili Shrimp Rice Bowl with Pasta,407,36.4,27.8,2.8,Snack,Non-Veg
Herb Shrimp Grill with Quinoa,234,25.4,18.4,29.4,Breakfast,Veg
Garlic Lentil Wrap with Rice,272,26.7,19.5,11.4,Snack,Veg
Herb Tofu Burger with Rice,267,15.7,23.6,19.3,Breakfast,Veg
Herb Beef Noodles with Bun,477,19,5.1,35,Dinner,Non-Veg
Spicy Pork Roast with Bread,332,29.6,75.4,31.6,Breakfast,Non-Veg
Herb Pork Salad with Bread,496,20.9,69.9,28.4,Breakfast,Veg
Spicy Tofu Burger with Flatbread,579,25.8,64.5,8.6,Lunch,Veg
Chili Shrimp Wrap with Rice,195,31.7,40.4,19.7,Breakfast,Non-Veg
Herb Shrimp Stir Fry with Rice,333,17.2,43.2,1.8,Breakfast,Veg
Butter Turkey Stir Fry with Pasta,272,4.5,88.1,30.7,Snack,Non-Veg
Garlic Paneer Burger with Quinoa,421,11.9,51.4,17.8,Dinner,Non-Veg
Chili Shrimp Curry with Quinoa,363,16.1,33.1,18.3,Snack,Non-Veg
Spicy Paneer Curry with Biryani,164,38.8,47.6,13.7,Snack,Veg
Butter Fish Soup with Ramen,667,16.3,26.4,6.9,Breakfast,Non-Veg
Butter Paneer Stir Fry with Flatbread,651,36,70,30.8,Snack,Non-Veg
Herb Chicken Pasta with Noodles,558,7.6,72.3,32.3,Snack,Veg
BBQ Paneer Rice Bowl with Quinoa,101,23.4,5.9,24.5,Dinner,Non-Veg
Spicy Pork Stir Fry with Ramen,251,29.6,23.4,33.9,Dinner,Non-Veg
Chili Chicken Soup with Bread,353,2.7,33.9,21.5,Breakfast,Veg
Lemon Fish Tacos with Flatbread,556,16.7,61.9,28.4,Lunch,Non-Veg
Masala Fish Rice Bowl with Rice,608,15.8,60.7,29,Breakfast,Veg
Teriyaki Paneer Salad with Flatbread,401,4.8,39.3,26.7,Dinner,Veg
Spicy Pork Pasta with Bun,340,26,89.6,7.3,Dinner,Veg
Herb Paneer Noodles with Rice,573,23.8,66.3,27.7,Snack,Non-Veg
Garlic Beef Noodles with Pasta,229,25.2,22.5,1,Snack,Non-Veg
Herb Paneer Noodles with Noodles,299,14,12.4,25.9,Snack,Non-Veg
Chili Chicken Curry with Flatbread,582,11.8,84.3,10.1,Lunch,Non-Veg
Spicy Chicken Wrap with Rice,354,18.8,87.5,26.5,Snack,Veg
Lemon Lentil Wrap with Rice,119,13,42.8,33.5,Dinner,Non-Veg
Herb Turkey Grill with Bread,668,16.6,38.4,3.5,Snack,Non-Veg
Lemon Turkey Soup with Pasta,594,32.1,76.6,25.1,Snack,Veg
Masala Pork Noodles with Noodles,260,16.8,83.6,26.2,Dinner,Non-Veg
Garlic Beef Pasta with Dumpling,472,2.7,34.8,3.5,Lunch,Non-Veg
Chili Pork Noodles with Biryani,558,27.1,85.2,23.7,Snack,Non-Veg
Spicy Fish Grill with Quinoa,642,7.6,89.5,12.4,Lunch,Non-Veg
Honey Pork Rice Bowl with Bun,689,35.9,37.1,21.2,Snack,Non-Veg
Lemon Egg Pasta with Bread,116,22.8,26,10.3,Breakfast,Veg
Lemon Turkey Curry with Bread,375,24.8,31.5,12.1,Snack,Non-Veg
Herb Pork Tacos with Dumpling,210,28.6,49.7,1.5,Dinner,Non-Veg
Spicy Shrimp Wrap with Pasta,402,20.2,82.1,10.7,Snack,Non-Veg
Spicy Turkey Grill with Rice,242,10.5,78.1,13.2,Lunch,Non-Veg
BBQ Shrimp Roast with Bread,567,22.6,11.2,27.6,Snack,Veg
Garlic Fish Salad with Noodles,589,5.3,40,34,Snack,Veg
Teriyaki Turkey Grill with Dumpling,185,24.7,59.2,30,Breakfast,Non-Veg
Butter Shrimp Stir Fry with Dumpling,672,33.2,40,20.7,Dinner,Veg
Spicy Egg Tacos with Quinoa,289,30,15,5.7,Breakfast,Non-Veg
BBQ Turkey Burger with Flatbread,375,26.9,17.2,32.9,Dinner,Non-Veg
Herb Turkey Noodles with Ramen,126,39.8,53.4,22.7,Lunch,Non-Veg
BBQ Shrimp Soup with Bun,246,13.4,77.4,1.2,Snack,Non-Veg
Chili Shrimp Salad with Biryani,170,18.3,40.6,9.7,Lunch,Non-Veg
Masala Shrimp Salad with Noodles,142,23.8,66.2,23.4,Snack,Non-Veg
Chili Paneer Pasta with Quinoa,122,25.9,87.6,27.4,Lunch,Veg
BBQ Beef Pasta with Bread,206,2,72.3,28.7,Dinner,Veg
Butter Tofu Grill with Noodles,591,34.9,71.6,15.9,Breakfast,Non-Veg
Chili Shrimp Curry with Biryani,409,30.2,41.1,11.1,Snack,Non-Veg
Spicy Lentil Salad with Biryani,194,5.7,50.3,33,Snack,Veg
Butter Chicken Grill with Bun,196,20.4,43.5,20.9,Snack,Non-Veg
Herb Paneer Salad with Ramen,444,4.6,61.6,24.7,Breakfast,Veg
Chili Egg Curry with Rice,128,30.4,78.4,20.9,Snack,Non-Veg
Teriyaki Shrimp Roast with Rice,429,33,35.4,12.9,Snack,Non-Veg
Honey Pork Tacos with Pasta,163,22.9,53,17.7,Snack,Veg
Chili Pork Wrap with Pasta,668,10.3,88.9,32.5,Snack,Veg
Butter Paneer Grill with Dumpling,403,26.2,79.4,23.1,Lunch,Veg
Chili Turkey Grill with Bun,429,3.2,13.6,19.7,Breakfast,Veg
Garlic Fish Curry with Noodles,411,23.5,88.1,21.5,Lunch,Veg
Teriyaki Fish Rice Bowl with Ramen,517,16.3,67.8,19.4,Breakfast,Veg
BBQ Beef Noodles with Noodles,500,25.4,74.2,20,Lunch,Non-Veg
Herb Beef Stir Fry with Pasta,232,10.3,32.9,26.7,Dinner,Non-Veg
Lemon Fish Wrap with Dumpling,474,2.4,80.2,27,Lunch,Veg
Butter Beef Soup with Flatbread,356,8.7,5.7,18,Dinner,Veg
Teriyaki Chicken Rice Bowl with Bread,506,6.6,26.2,17.1,Dinner,Non-Veg
Garlic Lentil Stir Fry with Bun,365,7.1,81,26.3,Dinner,Non-Veg
Teriyaki Paneer Pasta with Bread,89,23.8,5.6,24.1,Dinner,Veg
Masala Tofu Stir Fry with Bun,555,10.4,79.6,6.3,Dinner,Veg
Masala Fish Stir Fry with Biryani,347,10.4,25,28.4,Lunch,Veg
Herb Turkey Wrap with Biryani,418,31.6,37.1,30.1,Breakfast,Non-Veg
BBQ Shrimp Soup with Pasta,322,36.9,26.9,11.4,Breakfast,Non-Veg
Masala Beef Curry with Dumpling,615,19.4,71.4,25.8,Breakfast,Non-Veg
Herb Tofu Rice Bowl with Biryani,520,12,49.4,32.2,Dinner,Veg
Honey Egg Rice Bowl with Flatbread,337,29.9,24.4,19.7,Breakfast,Veg
Chili Fish Tacos with Flatbread,434,13.4,32.3,26.6,Lunch,Non-Veg
Masala Fish Burger with Bread,569,11.2,53.3,9.9,Dinner,Veg
Herb Chicken Pasta with Dumpling,681,16.2,13.4,2.4,Lunch,Non-Veg
Garlic Fish Pasta with Bread,558,29.9,69.2,6.3,Dinner,Non-Veg
BBQ Turkey Rice Bowl with Ramen,325,39.1,6.7,4.6,Dinner,Veg
BBQ Chicken Noodles with Dumpling,375,10,81.8,7.4,Snack,Veg
Lemon Egg Pasta with Rice,560,22.1,61.8,7,Snack,Veg
BBQ Chicken Tacos with Bread,117,6,54.3,2.5,Lunch,Veg
Chili Paneer Rice Bowl with Quinoa,291,20.9,14.3,14.5,Snack,Veg
Teriyaki Turkey Pasta with Bread,270,37.9,26.6,25.9,Breakfast,Veg
Butter Egg Soup with Flatbread,88,33,44.5,16.8,Lunch,Non-Veg
Teriyaki Pork Soup with Noodles,643,7.2,79.4,8.7,Lunch,Non-Veg
Spicy Shrimp Wrap with Biryani,217,5.3,33.9,3.6,Lunch,Veg
Herb Fish Roast with Pasta,371,27.5,36.5,18.7,Dinner,Veg
Butter Shrimp Curry with Dumpling,428,11.8,87.4,22.5,Breakfast,Veg
Butter Egg Rice Bowl with Biryani,593,33.4,54.3,26.1,Lunch,Veg
Chili Paneer Curry with Dumpling,215,23.4,42.3,11.3,Lunch,Veg
Butter Chicken Stir Fry with Quinoa,493,7.7,13,17.9,Lunch,Non-Veg
Honey Beef Roast with Rice,97,6.2,36.5,25.8,Breakfast,Veg
Spicy Turkey Burger with Bread,258,16,39.9,18.4,Breakfast,Non-Veg
Lemon Egg Rice Bowl with Dumpling,405,13.2,10.5,4.6,Lunch,Non-Veg
Garlic Fish Soup with Ramen,698,17.8,82.7,24.5,Lunch,Non-Veg
Masala Chicken Roast with Quinoa,169,9.9,78,4.1,Dinner,Veg
Herb Pork Stir Fry with Bun,601,19.2,38.3,28.6,Snack,Veg
BBQ Tofu Roast with Rice,127,18.5,16.6,17.8,Dinner,Non-Veg
BBQ Paneer Pasta with Noodles,503,35.4,16.9,7.1,Snack,Veg
Spicy Lentil Curry with Bun,443,20.2,32.9,16.5,Lunch,Veg
Spicy Egg Pasta with Biryani,324,25.5,31.4,27.3,Snack,Non-Veg
Lemon Tofu Pasta with Pasta,673,8.6,8.5,31.8,Snack,Non-Veg
Spicy Lentil Salad with Noodles,305,20.5,85.6,13.4,Dinner,Non-Veg
Honey Shrimp Noodles with Dumpling,611,34,73,15.7,Breakfast,Non-Veg
Garlic Beef Soup with Ramen,490,38.1,62.6,27.8,Lunch,Non-Veg
Herb Egg Burger with Noodles,293,20.2,20.6,20.2,Lunch,Non-Veg
Teriyaki Pork Salad with Pasta,456,29,83.2,16.7,Dinner,Veg
Honey Fish Curry with Bun,570,22.4,59.3,3.4,Lunch,Veg
Spicy Fish Tacos with Bread,81,37.2,42.1,15.5,Lunch,Veg
BBQ Tofu Curry with Bread,593,6.6,12.3,1.1,Breakfast,Non-Veg
Teriyaki Egg Salad with Noodles,469,30.7,9.8,22.1,Breakfast,Veg
Butter Beef Noodles with Quinoa,253,13.6,78.5,27.3,Dinner,Non-Veg
BBQ Shrimp Wrap with Ramen,665,20.2,35.8,5,Breakfast,Non-Veg
Lemon Egg Wrap with Flatbread,397,16.3,87.8,15.4,Snack,Veg
Honey Beef Noodles with Biryani,100,39.7,67.5,7.5,Lunch,Veg
Chili Pork Rice Bowl with Quinoa,695,14.7,29.8,17.7,Snack,Non-Veg
Butter Pork Noodles with Ramen,179,12.1,31,9.7,Snack,Non-Veg
BBQ Fish Grill with Dumpling,308,11.5,27.6,3.7,Dinner,Veg
Spicy Turkey Rice Bowl with Biryani,206,30.9,78.4,33.1,Breakfast,Non-Veg
Spicy Egg Curry with Dumpling,384,26.4,15.6,33.9,Lunch,Non-Veg
Butter Shrimp Tacos with Dumpling,692,14.5,84.6,25.9,Lunch,Non-Veg
Lemon Pork Tacos with Noodles,560,32.2,28.2,16.5,Lunch,Non-Veg
Butter Paneer Noodles with Noodles,318,8.2,74.3,5.5,Breakfast,Veg
BBQ Beef Salad with Noodles,432,10.9,87.4,13.7,Snack,Non-Veg
Teriyaki Shrimp Stir Fry with Bun,607,33.5,9.2,32.6,Snack,Non-Veg
Honey Tofu Grill with Biryani,430,8.5,77.6,31.2,Dinner,Veg
Masala Shrimp Salad with Dumpling,473,22.7,9.9,22.8,Dinner,Non-Veg
Butter Pork Grill with Bun,162,2,86.5,9.1,Breakfast,Veg
Spicy Pork Stir Fry with Bread,552,10.5,72.5,2.6,Breakfast,Non-Veg
Butter Lentil Wrap with Bun,549,39.3,14.7,13,Breakfast,Non-Veg
Garlic Pork Stir Fry with Bun,312,31.2,5.3,7.1,Snack,Veg
BBQ Lentil Stir Fry with Rice,699,24.1,75.5,5.6,Lunch,Non-Veg
BBQ Shrimp Stir Fry with Bread,493,6.7,85.5,29.2,Dinner,Veg
Spicy Beef Roast with Bread,674,28,77,31.3,Dinner,Non-Veg
Garlic Paneer Grill with Noodles,294,37.9,26.5,17.8,Dinner,Non-Veg
Masala Shrimp Burger with Biryani,447,18.6,11.5,5.3,Snack,Non-Veg
Honey Lentil Roast with Biryani,86,28.8,89.3,32.6,Snack,Veg
Masala Turkey Grill with Flatbread,364,34,46.7,13,Snack,Veg
Spicy Lentil Rice Bowl with Noodles,579,18.7,81,16.1,Dinner,Non-Veg
Garlic Chicken Grill with Biryani,531,34.3,16.2,29.6,Dinner,Veg
Chili Egg Rice Bowl with Flatbread,679,6.6,58.5,23.5,Dinner,Veg
Herb Pork Roast with Dumpling,667,11.3,56.6,3.8,Breakfast,Non-Veg
Herb Chicken Rice Bowl with Quinoa,533,24.6,46.1,13.4,Snack,Veg
Butter Fish Tacos with Bun,463,19,75.9,19.9,Breakfast,Veg
Honey Shrimp Stir Fry with Noodles,132,35.4,16.4,16.3,Breakfast,Non-Veg
Spicy Chicken Grill with Dumpling,657,12,18.8,27.1,Snack,Non-Veg
BBQ Lentil Stir Fry with Bread,151,20.9,11.6,1.1,Lunch,Veg
Garlic Beef Tacos with Ramen,246,26.7,63.6,17.2,Lunch,Non-Veg
BBQ Fish Stir Fry with Ramen,484,15.8,53.3,22,Snack,Non-Veg
Spicy Tofu Curry with Pasta,470,19.5,36.4,7,Dinner,Non-Veg
Teriyaki Turkey Soup with Bread,379,20.4,75.8,4.9,Lunch,Non-Veg
Garlic Lentil Salad with Flatbread,619,39.9,6,13.4,Lunch,Non-Veg
Chili Egg Salad with Bun,356,37.9,63.1,8.7,Snack,Non-Veg
Masala Lentil Rice Bowl with Biryani,301,37.9,51.7,26.7,Snack,Non-Veg
Masala Chicken Curry with Flatbread,557,17.2,15.3,34.4,Lunch,Veg
Lemon Pork Roast with Bread,213,22.2,61.4,1.1,Breakfast,Veg
Spicy Beef Rice Bowl with Ramen,537,37.6,73.3,2.3,Snack,Non-Veg
Herb Fish Grill with Dumpling,486,7.1,57.5,31.5,Breakfast,Veg
Honey Beef Burger with Flatbread,568,9.4,60.1,21.7,Breakfast,Veg
Lemon Chicken Noodles with Quinoa,546,12.1,58.8,33.5,Snack,Veg
Honey Beef Roast with Bun,239,18.7,26.3,8.3,Dinner,Veg
Chili Egg Rice Bowl with Noodles,645,5.3,51.7,23.5,Lunch,Non-Veg
Herb Fish Tacos with Noodles,338,26.6,31,25,Snack,Non-Veg
Teriyaki Lentil Soup with Biryani,379,38.3,78.4,10.8,Lunch,Veg
Honey Turkey Rice Bowl with Noodles,340,16.7,71.8,11.2,Dinner,Veg
Garlic Paneer Burger with Rice,612,25.4,82.2,11.6,Snack,Non-Veg
Chili Pork Soup with Bread,509,8.5,31.3,10.4,Breakfast,Veg
Spicy Paneer Salad with Rice,623,28,14.3,31.6,Breakfast,Veg
Lemon Paneer Curry with Bun,128,10.9,5,16.5,Breakfast,Non-Veg
Herb Chicken Burger with Quinoa,219,32,30.3,26.2,Breakfast,Veg
Masala Beef Tacos with Bun,258,3,56.7,23.3,Snack,Veg
Garlic Tofu Salad with Dumpling,313,21,25.6,8.6,Lunch,Non-Veg
Chili Egg Salad with Pasta,531,7.6,50.9,12,Breakfast,Veg
Teriyaki Beef Grill with Dumpling,680,4.4,55.5,20.3,Breakfast,Veg
Chili Chicken Tacos with Dumpling,156,10.3,11.5,34.3,Snack,Non-Veg
Butter Beef Stir Fry with Bun,435,35.6,42.9,3.4,Snack,Veg
BBQ Paneer Rice Bowl with Bun,445,36,83.3,11.9,Dinner,Veg
Spicy Chicken Curry with Pasta,170,29.2,44.7,20.2,Dinner,Non-Veg
Herb Lentil Pasta with Bread,629,31.7,89,33.9,Dinner,Veg
Herb Turkey Wrap with Bread,661,21.5,54.4,29.2,Lunch,Veg
Herb Tofu Salad with Noodles,124,20,79,6.5,Breakfast,Non-Veg
Lemon Fish Grill with Flatbread,477,16.8,11.6,24,Breakfast,Veg
Herb Tofu Curry with Noodles,389,12.8,89.4,10.9,Lunch,Non-Veg
Masala Shrimp Soup with Flatbread,219,3.6,24.5,7.1,Snack,Veg
BBQ Paneer Rice Bowl with Bread,601,17.9,81.7,5.3,Snack,Non-Veg
Honey Paneer Wrap with Dumpling,553,35.7,40.5,32,Snack,Veg
Spicy Turkey Curry with Biryani,682,9.9,36.1,14,Dinner,Veg
Honey Egg Burger with Pasta,361,39.4,19.9,3.9,Lunch,Non-Veg
Garlic Paneer Noodles with Bread,699,21,7.5,14.1,Dinner,Veg
Herb Chicken Noodles with Noodles,175,33.6,64.8,10.9,Dinner,Veg
Teriyaki Chicken Rice Bowl with Bun,378,35.1,36.2,12,Snack,Veg
Herb Chicken Grill with Flatbread,253,4.9,72,20,Dinner,Veg
Chili Egg Soup with Rice,477,22.4,43.9,4,Dinner,Veg
Honey Lentil Wrap with Flatbread,383,14.7,42.7,16.2,Lunch,Non-Veg
Spicy Chicken Curry with Bun,450,19.2,39.5,25,Lunch,Non-Veg
Chili Tofu Burger with Pasta,660,35.5,55.6,12.1,Lunch,Non-Veg
Masala Beef Rice Bowl with Bread,163,11.2,19.5,15.2,Snack,Non-Veg
Chili Turkey Grill with Quinoa,611,28.4,52.7,18.3,Breakfast,Veg
Chili Pork Noodles with Ramen,612,32.4,56.6,30.4,Breakfast,Veg
Spicy Fish Salad with Quinoa,448,34,14.8,14.4,Dinner,Veg
Masala Lentil Soup with Dumpling,147,18.4,88.5,6.6,Dinner,Veg
Masala Lentil Rice Bowl with Noodles,223,31.2,85.1,11.9,Dinner,Veg
Butter Fish Pasta with Noodles,233,8,77.9,26.1,Lunch,Non-Veg
Teriyaki Chicken Wrap with Bread,646,26.7,45.7,11.8,Dinner,Non-Veg
Butter Turkey Wrap with Bread,465,37.9,63.1,25.9,Snack,Non-Veg
Herb Fish Curry with Pasta,605,10.1,35.8,4.7,Snack,Non-Veg
Chili Chicken Wrap with Dumpling,454,12.2,85.3,28.9,Breakfast,Veg
Masala Chicken Rice Bowl with Bun,296,6.3,12.9,19.8,Snack,Non-Veg
Lemon Paneer Wrap with Dumpling,673,39.8,43.5,6.5,Dinner,Non-Veg
Butter Paneer Wrap with Quinoa,113,5,83.7,30.5,Snack,Veg
Butter Beef Grill with Biryani,125,10.3,82,8.1,Snack,Non-Veg
Garlic Shrimp Pasta with Noodles,143,12.2,60.1,3.4,Snack,Veg
Teriyaki Chicken Stir Fry with Dumpling,371,21,73.5,23.4,Snack,Non-Veg
Butter Egg Wrap with Biryani,592,24.2,54.6,31.4,Lunch,Veg
Honey Chicken Wrap with Bread,209,36.6,44.8,10.5,Snack,Veg
BBQ Tofu Noodles with Bun,94,29.1,81.5,27.4,Snack,Veg
Chili Paneer Rice Bowl with Bread,280,26.6,63,9.1,Breakfast,Veg
Lemon Lentil Grill with Bread,666,2.4,53.9,1.8,Lunch,Veg
Spicy Beef Soup with Dumpling,158,30.3,66.6,26.7,Lunch,Veg
Teriyaki Paneer Noodles with Bun,344,10.8,88.8,3.7,Snack,Non-Veg
Chili Egg Stir Fry with Flatbread,632,9.7,79.9,26.2,Dinner,Veg
Lemon Pork Soup with Dumpling,556,24.3,10.7,2.7,Snack,Veg
Lemon Pork Curry with Ramen,212,14.9,27.5,8.9,Snack,Non-Veg
Spicy Beef Roast with Biryani,540,22.2,84.1,19,Snack,Veg
Lemon Paneer Burger with Dumpling,337,24.2,28.2,10.9,Lunch,Non-Veg
BBQ Paneer Soup with Pasta,494,13.2,81.9,24.3,Dinner,Non-Veg
Butter Fish Curry with Pasta,269,30.3,60.4,19.6,Snack,Veg
Garlic Paneer Pasta with Flatbread,572,23.1,50.4,9,Lunch,Non-Veg
Lemon Fish Salad with Pasta,128,32.4,22.7,14.4,Breakfast,Veg
Chili Beef Noodles with Dumpling,191,6.2,65.1,2.9,Lunch,Non-Veg
Garlic Fish Burger with Pasta,367,4.2,9.9,31.7,Dinner,Veg
Honey Turkey Tacos with Quinoa,409,7,31.7,29,Breakfast,Non-Veg
Spicy Lentil Pasta with Quinoa,512,19.7,54.6,28.2,Dinner,Veg
Chili Turkey Tacos with Bun,643,32.5,71.3,11.3,Dinner,Veg
Chili Paneer Roast with Noodles,81,6.4,86.4,14.8,Lunch,Non-Veg
BBQ Tofu Pasta with Noodles,277,35.4,41.3,33.3,Lunch,Veg
Herb Paneer Pasta with Biryani,176,38.9,45.9,10.2,Lunch,Non-Veg
Garlic Chicken Burger with Noodles,400,2.1,10.4,25.1,Snack,Non-Veg
Masala Lentil Roast with Pasta,604,31.8,82.8,19.2,Dinner,Non-Veg
Butter Paneer Roast with Rice,665,9.2,41,23.3,Dinner,Veg
Teriyaki Shrimp Curry with Ramen,273,35.9,65.5,3.4,Breakfast,Non-Veg
Butter Pork Noodles with Rice,101,5.9,38.4,26.3,Snack,Non-Veg
Spicy Beef Wrap with Bread,498,37.9,62.8,18.3,Snack,Veg
Chili Pork Grill with Biryani,281,17.3,72.2,9.3,Lunch,Veg
Chili Turkey Curry with Bun,176,39.4,46.7,27.3,Lunch,Non-Veg
Butter Paneer Salad with Quinoa,524,8.3,7.9,21.4,Lunch,Non-Veg
Garlic Pork Rice Bowl with Rice,581,10,41.5,4.6,Snack,Non-Veg
Honey Pork Roast with Ramen,330,38.8,20.8,20.6,Snack,Veg
Lemon Paneer Grill with Rice,653,32.7,9.5,20.5,Lunch,Non-Veg
Teriyaki Chicken Roast with Ramen,230,33.2,70.9,26.5,Dinner,Non-Veg
Butter Tofu Pasta with Pasta,208,25.8,10.9,34.2,Breakfast,Non-Veg
Garlic Lentil Tacos with Rice,213,36.7,60.7,5.1,Lunch,Non-Veg
Spicy Paneer Tacos with Quinoa,602,9.9,71.9,24.7,Breakfast,Non-Veg
Garlic Shrimp Pasta with Flatbread,292,7,28.4,23.4,Lunch,Veg
Teriyaki Paneer Burger with Ramen,614,36.8,84.9,34.8,Lunch,Veg
Lemon Egg Salad with Bun,499,12,13.2,23,Lunch,Non-Veg
Masala Paneer Salad with Noodles,596,39.9,51.5,18.9,Lunch,Non-Veg
Butter Turkey Pasta with Biryani,678,19.2,17.8,12.5,Snack,Veg
Lemon Egg Curry with Noodles,542,5.5,42.5,14.1,Breakfast,Veg
Garlic Fish Noodles with Rice,526,3.1,13.9,5,Breakfast,Veg
Masala Shrimp Wrap with Ramen,575,17.3,73.8,13.9,Dinner,Non-Veg
BBQ Pork Grill with Bread,611,26.2,88.4,9,Breakfast,Veg
Masala Tofu Salad with Flatbread,629,19.6,8,8.8,Lunch,Non-Veg
