Food_Item,Calories,Protein_g,Carbs_g,Fat_g,Meal_Type,Diet_Type
Masala Lentil Soup with Pasta,537,36.7,51.9,12,Breakfast,Non-Veg
Spicy Lentil Wrap with Flatbread,667,37.5,84.5,26.1,Lunch,Veg
Lemon Beef Rice Bowl with Bread,676,21.3,82.3,15.6,Lunch,Veg
Butter Turkey Roast with Ramen,522,18.4,31.1,7.4,Lunch,Veg
Teriyaki Paneer Wrap with Biryani,364,10.2,74.5,4.1,Dinner,Veg
Garlic Fish Noodles with Noodles,420,33.9,23.1,34.6,Snack,Veg
Honey Lentil Soup with Pasta,119,27.1,42.3,22.2,Dinner,Non-Veg
Teriyaki Lentil Salad with Bun,239,35.1,23.8,15.7,Breakfast,Non-Veg
Teriyaki Tofu Burger with Quinoa,193,9.6,42.4,14.8,Lunch,Non-Veg
Chili Lentil Burger with Biryani,142,37.1,55.3,28.4,Dinner,Non-Veg
Spicy Shrimp Burger with Bun,340,25.5,65.4,3.3,Breakfast,Veg
Masala Lentil Salad with Noodles,314,34.7,13.4,9,Lunch,Non-Veg
Butter Chicken Pasta with Flatbread,476,8.3,70.9,32.3,Dinner,Veg
Garlic Egg Curry with Flatbread,363,24.8,25.9,26.5,Dinner,Non-Veg
Chili Paneer Curry with Bun,176,13.3,80.5,25,Breakfast,Non-Veg
Butter Lentil Stir Fry with Dumpling,230,23.7,33.8,3.5,Breakfast,Non-Veg
Herb Beef Soup with Bun,319,24,10.7,8,Breakfast,Non-Veg
Herb Shrimp Wrap with Ramen,314,11.9,17.1,25,Snack,Veg
Chili Lentil Stir Fry with Ramen,471,12,47,20.7,Breakfast,Non-Veg
Teriyaki Beef Pasta with Bun,381,21.7,8.7,7.4,Lunch,Veg
BBQ Paneer Pasta with Dumpling,681,2.1,11.2,33.3,Snack,Veg
Chili Lentil Stir Fry with Biryani,129,16.9,53,25.9,Breakfast,Veg
Chili Beef Roast with Biryani,348,19.9,43.7,7.8,Snack,Veg
Spicy Chicken Grill with Bun,643,38.7,23.6,11.6,Breakfast,Non-Veg
Chili Paneer Tacos with Ramen,422,38.6,19.4,18.2,Dinner,Non-Veg
Spicy Tofu Salad with Bun,464,21.2,6.1,23.5,Dinner,Veg
Honey Chicken Burger with Bread,600,39.8,54.3,17.6,Breakfast,Non-Veg
Masala Tofu Salad with Dumpling,164,6.7,79.6,4.7,Breakfast,Non-Veg
Garlic Turkey Grill with Bread,431,33.2,20.5,22.1,Snack,Veg
Honey Paneer Roast with Bun,254,29,47.1,7.7,Snack,Non-Veg
Butter Chicken Salad with Noodles,130,23.1,38.7,15.1,Snack,Non-Veg
Teriyaki Chicken Noodles with Pasta,569,14.7,65.4,27.9,Lunch,Veg
Herb Shrimp Soup with Bread,288,16.6,57.8,16.1,Snack,Veg
Lemon Lentil Curry with Bread,321,12.5,57,11.9,Lunch,Veg
Masala Fish Noodles with Bread,358,30.5,71.2,29,Lunch,Veg
Masala Turkey Burger with Rice,197,20.6,54.3,13.4,Breakfast,Non-Veg
Teriyaki Turkey Burger with Rice,322,3.3,60.3,15.4,Dinner,Veg
Honey Chicken Salad with Bun,483,29.1,35.5,20.8,Breakfast,Veg
Honey Pork Pasta with Bread,376,6.6,49.7,26.6,Breakfast,Non-Veg
Spicy Beef Stir Fry with Bun,297,30.1,41.7,18.8,Breakfast,Non-Veg
Garlic Turkey Roast with Quinoa,652,39.3,26.9,21.9,Snack,Veg
Butter Fish Tacos with Rice,275,24.4,71.4,12.2,Breakfast,Non-Veg
Spicy Beef Burger with Rice,640,18.6,66.7,23,Dinner,Non-Veg
Butter Tofu Soup with Bread,511,32.4,29.6,15.4,Breakfast,Non-Veg
Chili Lentil Tacos with Rice,633,2.2,44.2,14.6,Dinner,Non-Veg
Honey Chicken Curry with Flatbread,591,32.6,6.8,8.6,Dinner,Non-Veg
Lemon Tofu Pasta with Dumpling,334,4.5,76.1,16.2,Dinner,Non-Veg
Spicy Egg Noodles with Ramen,151,7.3,15.4,30.5,Snack,Veg
Herb Tofu Rice Bowl with Dumpling,438,28.2,15.8,9.7,Lunch,Veg
BBQ Egg Salad with Dumpling,195,21.2,88.9,23.5,Dinner,Non-Veg
Spicy Beef Wrap with Pasta,326,26.1,5.8,25.8,Snack,Non-Veg
Lemon Pork Stir Fry with Bun,557,36.8,64.4,17.3,Dinner,Non-Veg
Herb Fish Stir Fry with Biryani,288,4.9,56.3,20,Lunch,Non-Veg
Honey Egg Grill with Bread,174,17.5,5.8,5.1,Dinner,Non-Veg
Spicy Lentil Roast with Rice,510,3.5,43.5,9.4,Lunch,Non-Veg
Herb Shrimp Noodles with Bun,84,31.4,7.6,12.7,Lunch,Veg
Masala Paneer Curry with Rice,686,14.9,71.9,18.8,Lunch,Non-Veg
Chili Egg Salad with Dumpling,329,30.3,53,11,Snack,Veg
Chili Beef Pasta with Bread,341,32.8,80.7,13.8,Breakfast,Non-Veg
BBQ Fish Pasta with Bread,529,31.1,63.2,9.7,Snack,Non-Veg
Spicy Paneer Curry with Bun,443,16.3,7.9,8.8,Lunch,Veg
Honey Lentil Rice Bowl with Flatbread,238,25.5,88.9,13.1,Lunch,Veg
Lemon Beef Burger with Flatbread,186,39.1,24.6,30.7,Breakfast,Non-Veg
BBQ Paneer Noodles with Bread,537,9.7,64.1,23.5,Breakfast,Veg
Spicy Beef Roast with Ramen,660,5.6,18.3,24.7,Snack,Non-Veg
Garlic Egg Roast with Quinoa,516,20,16,31.8,Snack,Non-Veg
Herb Shrimp Curry with Ramen,278,12.5,12,1.6,Breakfast,Non-Veg
Butter Paneer Wrap with Bread,444,14.8,18.3,5.6,Snack,Veg
Masala Turkey Stir Fry with Biryani,573,21.2,27.3,20.6,Breakfast,Non-Veg
BBQ Shrimp Roast with Quinoa,452,10.9,58.2,30,Snack,Non-Veg
Butter Pork Salad with Ramen,381,39.9,43.7,33.4,Dinner,Veg
Lemon Beef Grill with Biryani,462,33.6,38.3,13.2,Snack,Veg
Masala Turkey Salad with Ramen,426,22.6,46.8,12.4,Breakfast,Veg
Spicy Fish Soup with Flatbread,402,12.1,24.9,5.2,Dinner,Non-Veg
Lemon Chicken Pasta with Dumpling,306,24,50.3,19.6,Lunch,Veg
Honey Pork Curry with Dumpling,395,19.9,32.8,32.2,Breakfast,Veg
Spicy Paneer Wrap with Bread,684,38,8.7,6.4,Breakfast,Veg
Garlic Tofu Stir Fry with Noodles,647,3.9,14.9,20.2,Breakfast,Veg
Chili Pork Pasta with Pasta,625,9.7,81.8,16,Dinner,Veg
Lemon Shrimp Curry with Quinoa,326,18,68.1,2.2,Dinner,Non-Veg
Spicy Chicken Soup with Quinoa,86,37.2,74.9,3,Breakfast,Veg
Masala Turkey Tacos with Biryani,118,10.3,55.5,3.7,Breakfast,Veg
Spicy Paneer Pasta with Ramen,559,31,28,14.7,Breakfast,Veg
Masala Paneer Curry with Dumpling,422,30.3,19.5,21.9,Snack,Non-Veg
Chili Fish Pasta with Flatbread,555,11,33.9,4.3,Breakfast,Veg
Masala Pork Stir Fry with Bun,269,33.3,73.9,34.7,Lunch,Non-Veg
Masala Beef Pasta with Quinoa,528,11.9,57.3,28.7,Dinner,Veg
Lemon Pork Tacos with Flatbread,648,18.3,89.2,26.4,Lunch,Non-Veg
Garlic Tofu Salad with Flatbread,399,3.9,67.5,27.9,Lunch,Non-Veg
Honey Chicken Rice Bowl with Noodles,559,4.4,73.4,26.8,Lunch,Non-Veg
Masala Turkey Wrap with Quinoa,425,26.7,42,19.2,Lunch,Non-Veg
BBQ Lentil Curry with Biryani,387,14.5,15.1,21,Breakfast,Veg
BBQ Tofu Salad with Quinoa,557,20.5,42.2,5.7,Dinner,Non-Veg
Honey Turkey Salad with Pasta,292,14.1,47.8,21.8,Snack,Non-Veg
BBQ Shrimp Salad with Pasta,478,23.6,74.9,13.6,Breakfast,Non-Veg
Butter Paneer Salad with Ramen,439,21.1,19.2,6,Snack,Non-Veg
Lemon Egg Noodles with Bread,418,7.3,32.8,4.6,Lunch,Veg
Masala Chicken Soup with Biryani,304,15,36.5,15.9,Breakfast,Veg
Herb Turkey Noodles with Bun,148,12.1,9.2,19.1,Breakfast,Veg
Teriyaki Lentil Wrap with Flatbread,412,6.6,56.9,28.3,Lunch,Veg
Spicy Fish Stir Fry with Rice,647,39,72.9,18.5,Snack,Non-Veg
Honey Beef Tacos with Ramen,290,17.7,11.6,33,Lunch,Veg
Honey Shrimp Roast with Dumpling,422,12.3,42.5,14.5,Lunch,Veg
Garlic Egg Tacos with Dumpling,358,11.5,60.1,4.3,Breakfast,Non-Veg
Masala Pork Stir Fry with Dumpling,647,33.5,74.3,25.5,Lunch,Veg
Masala Chicken Rice Bowl with Dumpling,173,16.7,39.8,18.1,Dinner,Non-Veg
BBQ Egg Soup with Quinoa,661,15.1,14.1,32.1,Snack,Veg
Spicy Pork Stir Fry with Pasta,334,27.6,56.3,20.5,Dinner,Veg
Garlic Lentil Burger with Biryani,459,28.3,85.9,10.4,Lunch,Non-Veg
Honey Shrimp Stir Fry with Rice,374,34.8,25.6,18.2,Lunch,Veg
Masala Beef Roast with Flatbread,308,8.2,43.5,21.4,Breakfast,Veg
Chili Egg Noodles with Flatbread,486,6.9,29.2,33,Snack,Non-Veg
BBQ Egg Noodles with Flatbread,400,8.8,25,15.7,Breakfast,Non-Veg
Teriyaki Egg Burger with Dumpling,184,5.2,54.5,6.8,Breakfast,Non-Veg
Garlic Pork Tacos with Flatbread,177,26.1,56.8,2.2,Snack,Non-Veg
Herb Fish Curry with Bread,495,29,80.9,13.6,Dinner,Veg
Lemon Paneer Tacos with Rice,390,19.3,69,2.3,Snack,Non-Veg
Spicy Turkey Wrap with Ramen,283,9.4,43.6,30.1,Snack,Non-Veg
Chili Lentil Burger with Flatbread,266,19.4,60.9,8.9,Breakfast,Veg
BBQ Shrimp Stir Fry with Dumpling,255,19.1,69.4,1.8,Breakfast,Non-Veg
Herb Lentil Stir Fry with Rice,90,15,86.9,16.8,Snack,Non-Veg
Masala Turkey Grill with Noodles,215,37.3,85.3,28,Dinner,Veg
Honey Chicken Soup with Flatbread,131,9.5,70.7,6.9,Breakfast,Veg
Teriyaki Lentil Soup with Noodles,634,4.4,7.8,15.9,Lunch,Veg
BBQ Turkey Grill with Biryani,375,5.4,28.1,29.7,Dinner,Veg
Honey Tofu Pasta with Biryani,268,33.2,73.4,4.9,Breakfast,Non-Veg
Masala Pork Tacos with Biryani,201,39.2,82.4,8.1,Lunch,Non-Veg
Teriyaki Chicken Curry with Ramen,321,19.9,51.2,3.8,Dinner,Veg
Chili Paneer Tacos with Bread,289,21.5,49.3,29.1,Dinner,Non-Veg
Garlic Paneer Burger with Ramen,366,15.3,49.7,21.8,Breakfast,Non-Veg
Lemon Paneer Grill with Flatbread,300,32.3,29.3,31,Dinner,Non-Veg
Spicy Shrimp Soup with Dumpling,343,36.9,54.3,7.9,Lunch,Non-Veg
Spicy Shrimp Burger with Bread,683,36.7,71.8,10.8,Snack,Veg
Herb Fish Burger with Quinoa,164,34.4,71.8,21.6,Snack,Veg
Herb Lentil Noodles with Noodles,298,24.7,75.5,16.2,Breakfast,Veg
Garlic Beef Pasta with Rice,504,11.9,23.9,4.8,Dinner,Non-Veg
Garlic Chicken Salad with Rice,96,18.2,41.4,13.1,Breakfast,Veg
Garlic Beef Grill with Pasta,393,38.6,8.8,8.2,Breakfast,Non-Veg
Teriyaki Pork Noodles with Dumpling,253,30.8,54.7,15.2,Breakfast,Veg
Spicy Chicken Wrap with Bread,680,6.7,31.9,25.5,Snack,Non-Veg
Lemon Shrimp Grill with Pasta,203,13.2,57.3,11.5,Lunch,Veg
Garlic Paneer Roast with Bread,240,21.2,7.9,18.8,Snack,Non-Veg
Garlic Tofu Curry with Quinoa,672,3.5,26.4,22.8,Dinner,Non-Veg
Chili Paneer Tacos with Quinoa,273,24.5,6.7,3.1,Lunch,Veg
Spicy Beef Noodles with Noodles,444,23.5,87.6,22,Lunch,Veg
BBQ Beef Stir Fry with Rice,666,21.6,79.8,23.2,Lunch,Non-Veg
Chili Paneer Grill with Dumpling,460,6.5,74.7,27.4,Dinner,Veg
BBQ Paneer Pasta with Rice,99,7.1,39.8,31,Breakfast,Veg
Honey Beef Tacos with Quinoa,222,29.1,46.6,21.9,Dinner,Non-Veg
Masala Shrimp Stir Fry with Noodles,104,19.9,87.3,20.7,Dinner,Non-Veg
Lemon Tofu Roast with Dumpling,348,36.5,53.2,9.3,Snack,Non-Veg
Teriyaki Chicken Curry with Bun,639,10.3,19.6,22.2,Dinner,Veg
Lemon Lentil Wrap with Biryani,536,14.3,54.5,17.1,Snack,Veg
Spicy Lentil Pasta with Pasta,151,12.8,9.7,19.7,Snack,Non-Veg
Butter Beef Salad with Flatbread,383,31.6,21.2,15.6,Dinner,Non-Veg
Masala Tofu Curry with Rice,437,33.2,62,6.3,Breakfast,Veg
Butter Turkey Wrap with Quinoa,533,16.3,70,15.3,Lunch,Veg
Honey Shrimp Pasta with Ramen,552,3.5,71.5,19.4,Dinner,Non-Veg
Spicy Shrimp Tacos with Flatbread,671,5.4,41.2,25.2,Dinner,Veg
Herb Paneer Wrap with Dumpling,408,14.4,43.2,7,Breakfast,Non-Veg
Teriyaki Pork Roast with Rice,296,27.3,62.2,23.3,Snack,Non-Veg
Honey Pork Rice Bowl with Ramen,294,10.6,55.2,5.3,Dinner,Non-Veg
Masala Chicken Tacos with Flatbread,563,16.4,58.1,18.2,Dinner,Non-Veg
Garlic Beef Stir Fry with Rice,325,27.4,68,8,Lunch,Veg
Teriyaki Paneer Noodles with Bread,347,8,23.1,20.3,Breakfast,Veg
Lemon Paneer Curry with Dumpling,517,27.4,50.8,2.8,Lunch,Veg
Masala Tofu Tacos with Bun,364,23.5,28.9,28.9,Dinner,Veg
Honey Paneer Roast with Pasta,380,32.8,60.2,16.3,Lunch,Non-Veg
Honey Pork Burger with Bread,128,38.4,29.9,10.9,Breakfast,Non-Veg
Lemon Fish Salad with Bread,271,7.2,66.1,20.1,Snack,Veg
Chili Beef Grill with Pasta,630,5.2,23.9,29.9,Snack,Non-Veg
Lemon Turkey Soup with Quinoa,214,2.4,17,26.3,Lunch,Veg
Teriyaki Lentil Grill with Bun,548,17.1,26.1,13.6,Breakfast,Veg
Teriyaki Beef Grill with Noodles,279,4.7,77,30.6,Breakfast,Veg
BBQ Shrimp Curry with Pasta,310,15.7,40.2,16.6,Breakfast,Veg
Butter Tofu Soup with Biryani,262,22.9,88.1,19.5,Snack,Non-Veg
Masala Lentil Soup with Bread,589,14.4,5.1,22.5,Dinner,Non-Veg
Honey Tofu Pasta with Ramen,282,14,41.9,19.6,Lunch,Non-Veg
Herb Shrimp Wrap with Noodles,156,36.9,18.5,17.6,Snack,Veg
Butter Egg Burger with Noodles,443,15.7,55.1,25.9,Snack,Veg
Lemon Beef Wrap with Ramen,473,21.3,15.4,10.7,Snack,Veg
BBQ Pork Grill with Flatbread,350,6.2,51.1,32.4,Lunch,Non-Veg
Spicy Beef Stir Fry with Bread,214,3.9,70,15.1,Breakfast,Non-Veg
Honey Egg Salad with Bun,145,5.2,29.7,30,Snack,Veg
Butter Shrimp Salad with Bread,379,26.6,81.4,2.9,Snack,Non-Veg
Honey Beef Stir Fry with Noodles,559,27.8,33.8,8,Dinner,Veg
BBQ Lentil Burger with Quinoa,171,7,49.4,24.3,Snack,Veg
Teriyaki Shrimp Tacos with Pasta,468,30.6,76.1,21.9,Lunch,Non-Veg
Butter Egg Noodles with Bun,198,26.5,74.6,26.2,Snack,Non-Veg
Garlic Tofu Noodles with Pasta,125,33,46.2,15.7,Breakfast,Non-Veg
Honey Pork Curry with Pasta,89,18.1,17.5,33,Breakfast,Non-Veg
Teriyaki Fish Salad with Dumpling,373,4.5,11.4,33.8,Dinner,Veg
Honey Shrimp Soup with Biryani,498,11.9,83.9,4.2,Snack,Non-Veg
Lemon Chicken Burger with Bread,336,25.5,6.2,10.5,Dinner,Non-Veg
Lemon Beef Roast with Noodles,351,26.5,10.8,20,Lunch,Non-Veg
Masala Beef Grill with Dumpling,681,10.3,74.3,10.6,Dinner,Veg
Garlic Tofu Pasta with Flatbread,538,5.3,85.4,3.3,Dinner,Non-Veg
Chili Lentil Wrap with Bun,483,30.2,6.9,18.2,Lunch,Veg
BBQ Paneer Wrap with Biryani,423,26.9,9.5,19.6,Lunch,Veg
Chili Chicken Pasta with Biryani,298,38.9,37.2,7,Lunch,Veg
Butter Beef Grill with Flatbread,270,7.2,6.1,28.6,Breakfast,Non-Veg
BBQ Turkey Soup with Flatbread,514,10.2,7.4,6.6,Breakfast,Non-Veg
Herb Chicken Curry with Rice,275,35.8,32.2,5.8,Lunch,Non-Veg
Butter Pork Pasta with Bread,216,8.8,44.3,31.9,Snack,Veg
BBQ Beef Grill with Noodles,186,27,70,9.6,Dinner,Veg
Spicy Tofu Roast with Flatbread,91,5.6,69.2,25.8,Lunch,Non-Veg
Teriyaki Fish Salad with Biryani,684,37.8,6.1,33.6,Dinner,Veg
Garlic Paneer Stir Fry with Quinoa,331,33.2,83.3,26.5,Snack,Non-Veg
Teriyaki Paneer Wrap with Pasta,320,7.3,81.8,19.3,Breakfast,Non-Veg
Honey Pork Tacos with Bun,129,16.2,43.2,16.1,Dinner,Non-Veg
Lemon Turkey Curry with Flatbread,242,18.3,14.1,15.7,Breakfast,Non-Veg
Teriyaki Egg Pasta with Flatbread,494,13.4,29.6,18.1,Snack,Non-Veg
Honey Shrimp Rice Bowl with Flatbread,307,13.3,70.9,4.7,Snack,Veg
Honey Paneer Salad with Flatbread,533,9.7,60.5,28.4,Breakfast,Veg
Masala Shrimp Wrap with Bun,187,10.8,73.3,7,Breakfast,Veg
Butter Shrimp Tacos with Bun,266,31.7,26.9,17.7,Dinner,Non-Veg
Masala Pork Salad with Dumpling,419,34.4,78.3,20.7,Snack,Veg
Herb Chicken Noodles with Rice,525,9.3,83.8,14.6,Snack,Non-Veg
Honey Paneer Noodles with Bread,538,5.1,87.2,10.4,Dinner,Non-Veg
Spicy Tofu Salad with Ramen,605,31.1,43.6,21.4,Snack,Non-Veg
Masala Fish Pasta with Dumpling,181,37.5,64.6,31.5,Lunch,Non-Veg
Garlic Chicken Wrap with Noodles,576,38.2,89.5,13.1,Breakfast,Non-Veg
Garlic Pork Wrap with Noodles,362,10.8,15,12.2,Dinner,Non-Veg
Teriyaki Egg Curry with Noodles,267,28.7,39.5,17.5,Dinner,Veg
Honey Tofu Noodles with Ramen,251,2.8,64.3,23.7,Breakfast,Non-Veg
Lemon Shrimp Wrap with Bread,453,39.9,44.9,23.1,Breakfast,Veg
Chili Pork Noodles with Bread,254,31.2,65.9,7.8,Dinner,Veg
Chili Paneer Rice Bowl with Pasta,619,27.2,16,29.4,Snack,Non-Veg
Garlic Egg Grill with Flatbread,407,14.5,16.7,8.9,Snack,Veg
BBQ Fish Salad with Dumpling,183,23.9,9.6,10.8,Breakfast,Veg
Garlic Lentil Roast with Quinoa,658,27.3,34.4,20.5,Breakfast,Veg
Teriyaki Turkey Salad with Noodles,492,29,88.2,8.6,Snack,Non-Veg
Garlic Pork Curry with Bread,278,18.7,10.4,25.2,Snack,Veg
Teriyaki Turkey Tacos with Bun,241,39.7,6.3,1.6,Breakfast,Non-Veg
Spicy Chicken Noodles with Pasta,128,21.6,71.8,34.5,Lunch,Non-Veg
Butter Pork Tacos with Flatbread,608,36.8,45.2,12.8,Lunch,Veg
Butter Paneer Soup with Pasta,521,4.2,41,6.7,Dinner,Non-Veg
Chili Egg Roast with Flatbread,133,39.8,52.7,24.6,Dinner,Non-Veg
BBQ Pork Rice Bowl with Flatbread,325,20.8,84.6,13.6,Snack,Non-Veg
Garlic Paneer Salad with Ramen,455,17.8,19.1,12.7,Dinner,Veg
Herb Egg Burger with Bun,630,32,85.5,22,Dinner,Veg
Lemon Turkey Rice Bowl with Noodles,574,37.4,11.9,13,Snack,Veg
Garlic Fish Stir Fry with Ramen,585,36.6,28.4,4.6,Lunch,Non-Veg
Herb Pork Grill with Biryani,236,24.2,44,9.4,Snack,Non-Veg
Teriyaki Paneer Salad with Pasta,594,4.6,24.1,12,Breakfast,Veg
Spicy Turkey Tacos with Noodles,193,7.9,5.8,12.1,Snack,Non-Veg
Lemon Shrimp Salad with Dumpling,636,28.3,23.7,28.2,Snack,Veg
Spicy Tofu Stir Fry with Ramen,186,39.8,33.3,15.9,Lunch,Veg
Masala Paneer Tacos with Quinoa,599,18.8,45.4,24.3,Dinner,Veg
Garlic Fish Soup with Quinoa,119,28.5,29.7,9.9,Lunch,Veg
Butter Egg Soup with Noodles,401,28.4,89.6,22.5,Lunch,Non-Veg
Lemon Beef Pasta with Bread,235,16.4,46,16.5,Breakfast,Veg
Spicy Paneer Pasta with Bread,193,18.4,14.3,30,Snack,Non-Veg
Herb Shrimp Pasta with Rice,643,29.8,46.7,32.3,Lunch,Veg
Masala Tofu Wrap with Bread,464,18,26.8,24.1,Snack,Veg
Teriyaki Fish Pasta with Biryani,299,30.3,51.6,24.6,Snack,Veg
Garlic Fish Pasta with Dumpling,666,34.6,14,33.8,Lunch,Non-Veg
Masala Shrimp Wrap with Noodles,96,6.9,21.8,19.6,Lunch,Non-Veg
Herb Lentil Grill with Pasta,294,23.8,86.3,3.8,Lunch,Veg
Honey Tofu Roast with Quinoa,106,39,64.9,29.7,Snack,Non-Veg
Chili Paneer Salad with Biryani,593,14.2,11.2,8.9,Snack,Veg
Masala Tofu Soup with Flatbread,573,8.2,59.9,30.7,Snack,Veg
Butter Lentil Burger with Ramen,545,27.5,62.2,29.2,Dinner,Veg
Chili Pork Pasta with Quinoa,120,2.2,60.6,26,Breakfast,Non-Veg
BBQ Tofu Grill with Ramen,437,34.1,30.2,24.5,Dinner,Non-Veg
Herb Egg Noodles with Flatbread,481,21.5,78.4,30.9,Lunch,Non-Veg
Herb Paneer Curry with Quinoa,306,38.2,11.7,13.8,Dinner,Veg
Chili Tofu Burger with Bread,393,14.6,18.3,6.4,Lunch,Veg
Spicy Chicken Burger with Bread,421,19.1,17.7,16.2,Breakfast,Non-Veg
Garlic Pork Salad with Flatbread,275,21.7,40.1,33.3,Dinner,Non-Veg
Honey Pork Noodles with Bread,506,24.7,33.4,1.3,Lunch,Veg
Teriyaki Egg Wrap with Dumpling,663,18.1,35.6,33.4,Breakfast,Veg
Spicy Egg Wrap with Flatbread,170,21.1,14.3,20,Snack,Veg
Honey Egg Salad with Bread,499,28.8,34.2,29.8,Snack,Veg
BBQ Shrimp Stir Fry with Rice,234,34.7,12,4.8,Snack,Non-Veg
Chili Fish Noodles with Ramen,653,22.6,50.5,20.6,Snack,Veg
Garlic Lentil Tacos with Quinoa,473,39.2,41,34.6,Lunch,Non-Veg
Garlic Shrimp Stir Fry with Rice,254,2.4,69.9,12.6,Breakfast,Veg
Chili Turkey Pasta with Dumpling,226,4.7,82.9,2.8,Snack,Veg
BBQ Fish Grill with Ramen,137,9.4,38.9,29.7,Breakfast,Veg
Teriyaki Beef Grill with Bread,125,6.7,59.4,23.7,Dinner,Veg
Lemon Turkey Roast with Ramen,629,8.3,74.4,3.7,Dinner,Non-Veg
Masala Fish Burger with Pasta,365,31.5,68.4,10.5,Lunch,Veg
Honey Beef Roast with Dumpling,177,14.5,58.1,33,Breakfast,Non-Veg
Lemon Shrimp Roast with Dumpling,349,13.6,17.7,14.4,Dinner,Non-Veg
Butter Beef Rice Bowl with Biryani,437,8.8,47.9,32.9,Snack,Veg
Teriyaki Shrimp Noodles with Dumpling,332,14.2,7,26,Lunch,Veg
Chili Chicken Noodles with Dumpling,442,3.3,10.2,14.9,Snack,Non-Veg
Garlic Paneer Grill with Quinoa,675,27.5,89.5,10.3,Dinner,Non-Veg
Garlic Lentil Roast with Flatbread,362,7.3,18.6,11,Breakfast,Non-Veg
Spicy Shrimp Grill with Rice,151,8,31,27.4,Breakfast,Non-Veg
Butter Paneer Stir Fry with Bun,261,15,80.8,3.3,Dinner,Non-Veg
Garlic Egg Pasta with Bun,177,34.1,30.5,32.6,Lunch,Non-Veg
BBQ Lentil Pasta with Bun,444,28.3,32.4,27.9,Lunch,Veg
Chili Paneer Noodles with Flatbread,133,32.7,22,9.9,Snack,Veg
Herb Egg Wrap with Noodles,412,31.1,14.1,30.7,Breakfast,Veg
BBQ Shrimp Soup with Bread,377,29,16.4,15.5,Lunch,Non-Veg
Masala Egg Pasta with Bread,443,39.5,36.5,6.3,Snack,Veg
Honey Shrimp Grill with Rice,656,17.3,73.1,16.7,Breakfast,Non-Veg
Spicy Lentil Wrap with Pasta,310,29.5,28.9,4.3,Breakfast,Veg
